Crop,Sowing Start (Kerala),Sowing End (Kerala),Harvest Start (Approx),Harvest End (Approx),Fertiliser,Duration (Days)
Paddy (Rice) - Virippu,Apr,Sep,Aug,Oct,70:35:35,110-120
Paddy (Rice) - Mundakan,Sep,Oct,Dec,Jan,90:45:45,120-140
Paddy (Rice) - Puncha,Dec,Jan,Mar,Apr,70:35:35,90-110
Coconut,"Year-round (planting best Apr-Jun)","Year-round (harvest nuts continuously)",Year-round,Year-round,"500:320:1200 g/plant",Perennial
Rubber,Apr,Jun,Nov,Feb,"NPKMg 12:12:12:5",Perennial
Banana (Plantain),Feb,May,Jul,Oct,"190:110:300 g/plant",270-365
Tapioca (Cassava),Jun,Jul,Dec,Feb,"50:50:100",240-300
Black Pepper,Jun,Jul,Dec,Feb,"100:40:140 g/vine",Perennial
Cardamom,May,Jun,Nov,Jan,"75:75:150",Perennial
Tea (high ranges),Mar,Apr,Sep,Nov,Varies by soil,Perennial
Coffee (Robusta/Arabica),Mar,Apr,Oct,Dec,"120:90:120",Perennial
Maize (Kharif),Jun,Jul,Sep,Nov,"120:60:40",90-110
Tomato,Sep,Dec,Jan,Mar,"75:40:25",90-120
Okra (Lady's finger),May,Jun,Aug,Oct,"75:40:25",60-70
Brinjal (Eggplant),Sep,Dec,Jan,Mar,"100:50:50",120-140
Cauliflower,Jan,Feb,Apr,May,"120:60:60",90-120
Cabbage,Jan,Feb,Apr,May,"150:80:80",80-100
Pumpkin,Jan,Mar,May,Jun,"60:80:80",90-120
